a c średnia_energia odchylenie_standardowe log10
0.3 -0.7 -0.101816 0.0533092 -1.69874
0.3 -0.68 -0.109475 0.00528621 -1.52981
0.3 -0.66 -0.0965673 0.0248676 -1.8166
0.3 -0.64 -0.0805436 0.0161632 -1.52152
0.3 -0.62 -0.0710389 0.00304041 -2.10779
0.3 -0.6 -0.0950114 0.00910739 -1.58114
0.3 -0.58 -0.101926 0.00678317 -1.93074
0.3 -0.56 -0.0869413 0.00494179 -1.93614
0.3 -0.54 -0.0836839 0.00280483 -2.04734
0.3 -0.52 -0.107117 0.00570503 -2.08128
0.3 -0.5 -0.107446 0.0291032 -1.75383
0.3 -0.48 -0.105788 0.012806 -1.72388
0.3 -0.46 -0.110776 0.0365777 -2.12147
0.3 -0.44 -0.141676 0.0142376 -1.52439
0.3 -0.42 -0.109378 0.0211529 -1.77543
0.3 -0.4 -0.203567 0.080227 -1.58627
0.3 -0.38 -0.244786 0.0625367 -2.68151
0.3 -0.36 -0.145198 0.0212026 -1.4494
0.3 -0.34 -0.188924 0.0587454 -1.28795
0.3 -0.32 -0.109523 0.0923952 -1.39046
0.3 -0.3 -0.195036 0.0712654 -0.987119
0.3 -0.28 -0.195374 0.0853047 -1.08444
0.3 -0.26 -0.427097 0.0881974 -1.42725
0.3 -0.24 -0.433313 0.123342 -1.05966
0.3 -0.22 -0.429211 0.0375848 -1.46213
0.3 -0.2 -0.431592 0.0713316 -1.07096
0.3 -0.18 -0.421615 0.0880077 -1.08071
0.3 -0.16 -0.399024 0.0716495 -1.12374
0.3 -0.14 -0.398571 0.0650236 -1.13608
0.3 -0.12 -0.358367 0.0594095 -1.20031
0.3 -0.1 -0.341079 0.0554482 -1.23368
0.3 -0.08 -0.326247 0.0628594 -1.16442
0.3 -0.06 -0.316524 0.0507492 -1.25672
0.3 -0.04 -0.29972 0.0567305 -1.22702
0.3 -0.02 -0.270678 0.0514394 -1.35757
0.3 3.95517e-16 -0.231492 0.0396325 -1.38998
0.3 0.02 -0.22809 0.0478674 -1.3408
0.3 0.04 -0.210152 0.0356893 -1.54725
0.3 0.06 -0.230297 0.0374763 -1.43262
0.3 0.08 -0.235695 0.0450226 -1.55159
0.3 0.1 -0.237409 0.0350644 -1.70792
0.3 0.12 -0.195876 0.0276947 -1.37203
0.3 0.14 -0.201105 0.0373368 -1.47718
0.3 0.16 -0.206041 0.0367451 -1.61661
0.3 0.18 -0.189969 0.0299459 -1.47623
0.3 0.2 -0.173232 0.0599912 -1.79864
0.3 0.22 -0.187902 0.0275084 -1.50612
